Tabela,Data,Kurs średni,Zmiana
49/A/NBP/2020,2020-03-11,3.8186,0.34
48/A/NBP/2020,2020-03-10,3.8058,0.42
47/A/NBP/2020,2020-03-09,3.7899,-0.87
46/A/NBP/2020,2020-03-06,3.8231,-0.64
45/A/NBP/2020,2020-03-05,3.8479,-0.15
44/A/NBP/2020,2020-03-04,3.8536,-0.69
43/A/NBP/2020,2020-03-03,3.8804,-0.56
42/A/NBP/2020,2020-03-02,3.9023,-0.59
41/A/NBP/2020,2020-02-28,3.9255,-0.4
40/A/NBP/2020,2020-02-27,3.9413,-0.4
39/A/NBP/2020,2020-02-26,3.9573,-0.13
38/A/NBP/2020,2020-02-25,3.9624,-0.37
37/A/NBP/2020,2020-02-24,3.9772,0.38
36/A/NBP/2020,2020-02-21,3.9623,0.01
35/A/NBP/2020,2020-02-20,3.9621,0.16
34/A/NBP/2020,2020-02-19,3.9556,0.27
33/A/NBP/2020,2020-02-18,3.9448,0.66
32/A/NBP/2020,2020-02-17,3.9189,0.23
31/A/NBP/2020,2020-02-14,3.9098,-0.02
30/A/NBP/2020,2020-02-13,3.9104,0.24
29/A/NBP/2020,2020-02-12,3.901,-0.08
28/A/NBP/2020,2020-02-11,3.9041,0.12
27/A/NBP/2020,2020-02-10,3.8996,0.13
26/A/NBP/2020,2020-02-07,3.8947,0.71
25/A/NBP/2020,2020-02-06,3.8672,0.05
24/A/NBP/2020,2020-02-05,3.8654,-0.31
23/A/NBP/2020,2020-02-04,3.8773,-0.23
22/A/NBP/2020,2020-02-03,3.8864,-0.35
21/A/NBP/2020,2020-01-31,3.8999,0.37
20/A/NBP/2020,2020-01-30,3.8856,-0.04
19/A/NBP/2020,2020-01-29,3.8871,0.07
18/A/NBP/2020,2020-01-28,3.8844,0.31
17/A/NBP/2020,2020-01-27,3.8725,0.65
16/A/NBP/2020,2020-01-24,3.8475,0.44
15/A/NBP/2020,2020-01-23,3.8308,0.28
14/A/NBP/2020,2020-01-22,3.8202,-0.21
13/A/NBP/2020,2020-01-21,3.8284,0.02
12/A/NBP/2020,2020-01-20,3.8277,0.59
11/A/NBP/2020,2020-01-17,3.8053,0.22
10/A/NBP/2020,2020-01-16,3.7968,-0.06
9/A/NBP/2020,2020-01-15,3.7992,-0.07
8/A/NBP/2020,2020-01-14,3.8019,-0.22
7/A/NBP/2020,2020-01-13,3.8101,-0.45
6/A/NBP/2020,2020-01-10,3.8272,0.05
5/A/NBP/2020,2020-01-09,3.8251,0.34
4/A/NBP/2020,2020-01-08,3.8123,0.69
3/A/NBP/2020,2020-01-07,3.7861,-0.92
2/A/NBP/2020,2020-01-03,3.8213,0.56
1/A/NBP/2020,2020-01-02,3.8,0.06
251/A/NBP/2019,2019-12-31,3.7977,-0.13
250/A/NBP/2019,2019-12-30,3.8027,-0.62
249/A/NBP/2019,2019-12-27,3.8266,-0.57
248/A/NBP/2019,2019-12-24,3.8487,0.24
247/A/NBP/2019,2019-12-23,3.8394,0.22
246/A/NBP/2019,2019-12-20,3.8311,0.08
245/A/NBP/2019,2019-12-19,3.8281,-0.05
244/A/NBP/2019,2019-12-18,3.8302,0.24
243/A/NBP/2019,2019-12-17,3.8211,-0.26
242/A/NBP/2019,2019-12-16,3.8311,0.2
241/A/NBP/2019,2019-12-13,3.8234,-0.7
240/A/NBP/2019,2019-12-12,3.8505,-0.4
239/A/NBP/2019,2019-12-11,3.866,-0.13
238/A/NBP/2019,2019-12-10,3.8711,0.02
237/A/NBP/2019,2019-12-09,3.8704,0.53
236/A/NBP/2019,2019-12-06,3.85,-0.17
235/A/NBP/2019,2019-12-05,3.8566,-0.21
234/A/NBP/2019,2019-12-04,3.8647,-0.15
233/A/NBP/2019,2019-12-03,3.8706,-0.87
232/A/NBP/2019,2019-12-02,3.9047,-0.61
231/A/NBP/2019,2019-11-29,3.9288,0.09
230/A/NBP/2019,2019-11-28,3.9252,0.25
229/A/NBP/2019,2019-11-27,3.9154,0.29
228/A/NBP/2019,2019-11-26,3.9039,0.01
227/A/NBP/2019,2019-11-25,3.9036,0.47
226/A/NBP/2019,2019-11-22,3.8853,0.3
225/A/NBP/2019,2019-11-21,3.8737,-0.14
224/A/NBP/2019,2019-11-20,3.8792,0.02
223/A/NBP/2019,2019-11-19,3.8786,0.05
222/A/NBP/2019,2019-11-18,3.8767,-0.21
221/A/NBP/2019,2019-11-15,3.8848,-0.42
220/A/NBP/2019,2019-11-14,3.9011,0.28
219/A/NBP/2019,2019-11-13,3.8902,0.31
218/A/NBP/2019,2019-11-12,3.878,0.4
217/A/NBP/2019,2019-11-08,3.8625,0.32
216/A/NBP/2019,2019-11-07,3.8502,0.01
215/A/NBP/2019,2019-11-06,3.8497,0.49
214/A/NBP/2019,2019-11-05,3.8308,0.55
213/A/NBP/2019,2019-11-04,3.8099,-0.2
212/A/NBP/2019,2019-10-31,3.8174,-0.56
